iter	Passed	Remaining
0	60	60220
1	61	30440
2	61	20488
3	62	15505
4	62	12513
5	63	10509
6	64	9105
7	65	8120
8	72	8015
9	73	7284
10	74	6672
11	74	6160
12	75	5726
13	76	5358
14	76	5037
15	77	4763
16	78	4516
17	78	4294
18	79	4095
19	79	3918
20	80	3757
21	81	3610
22	82	3514
23	83	3394
24	88	3442
25	88	3329
26	89	3222
27	90	3125
28	90	3034
29	91	2949
30	91	2871
31	92	2796
32	93	2725
33	93	2661
34	94	2599
35	94	2540
36	95	2487
37	96	2437
38	96	2389
39	97	2342
40	98	2307
41	99	2263
42	99	2222
43	100	2183
44	101	2147
45	101	2114
46	103	2089
47	103	2057
48	104	2035
49	105	2005
50	106	1974
51	106	1944
52	107	1916
53	107	1889
54	108	1864
55	109	1838
56	109	1815
57	110	1792
58	111	1772
59	111	1753
60	112	1732
61	113	1712
62	113	1693
63	114	1674
64	115	1658
65	115	1640
66	116	1623
67	117	1608
68	118	1592
69	118	1576
70	119	1560
71	119	1546
72	120	1532
73	121	1517
74	121	1503
75	122	1488
76	123	1474
77	123	1461
78	124	1448
79	124	1436
80	125	1424
81	126	1413
82	126	1398
83	127	1387
84	127	1376
85	128	1365
86	129	1354
87	129	1343
88	130	1333
89	130	1323
90	131	1313
91	132	1303
92	132	1293
93	133	1282
94	133	1272
95	134	1262
96	134	1253
97	135	1244
98	135	1235
99	136	1227
100	136	1218
101	137	1210
102	137	1201
103	138	1193
104	139	1185
105	139	1177
106	140	1171
107	141	1164
108	141	1158
109	142	1152
110	143	1147
111	144	1146
112	145	1140
113	145	1133
114	146	1127
115	147	1121
116	147	1113
117	148	1107
118	148	1100
119	149	1094
120	149	1088
121	150	1081
122	150	1076
123	151	1070
124	152	1064
125	152	1059
126	153	1053
127	153	1047
128	154	1042
129	155	1037
130	155	1032
131	156	1026
132	156	1022
133	157	1017
134	158	1012
135	158	1008
136	159	1003
137	159	999
138	160	995
139	161	990
140	161	985
141	162	979
142	162	975
143	163	970
144	163	966
145	164	961
146	164	957
147	165	953
148	166	948
149	166	944
150	167	940
151	167	936
152	168	932
153	169	928
154	169	924
155	170	921
156	170	917
157	171	914
158	172	911
159	173	908
160	173	903
161	174	901
162	174	898
163	175	894
164	176	890
165	176	887
166	177	884
167	177	880
168	178	877
169	179	874
170	179	870
171	180	867
172	180	863
173	181	860
174	181	857
175	182	854
176	183	850
177	183	847
178	184	844
179	184	841
180	185	838
181	185	835
182	186	832
183	187	830
184	187	827
185	188	824
186	189	821
187	189	818
188	190	815
189	190	813
190	191	810
191	191	807
192	192	805
193	193	802
194	193	800
195	194	797
196	195	794
197	195	792
198	196	789
199	196	786
200	197	784
201	197	781
202	198	779
203	199	776
204	199	774
205	200	771
206	200	769
207	201	767
208	202	764
209	202	762
210	203	760
211	204	758
212	204	756
213	205	754
214	206	752
215	207	753
216	208	750
217	208	748
218	209	746
219	209	743
220	210	741
221	210	739
222	211	737
223	212	734
224	212	732
225	213	730
226	213	728
227	214	726
228	215	724
229	215	722
230	216	720
231	217	720
232	218	718
233	218	716
234	219	714
235	219	712
236	220	710
237	222	713
238	236	751
239	238	755
240	241	759
241	242	759
242	244	760
243	245	762
244	247	763
245	249	764
246	250	764
247	252	765
248	254	766
249	255	766
250	257	767
251	258	767
252	260	767
253	260	766
254	264	771
255	264	769
256	265	768
257	266	766
258	267	764
259	267	761
260	268	759
261	268	757
262	269	755
263	270	753
264	270	751
265	272	750
266	272	748
267	273	746
268	273	744
269	274	742
270	275	740
271	275	738
272	276	736
273	277	734
274	278	733
275	278	731
276	279	729
277	280	727
278	281	726
279	281	724
280	282	722
281	282	720
282	283	718
283	284	716
284	284	714
285	285	712
286	286	710
287	286	708
288	287	707
289	288	705
290	288	703
291	289	701
292	289	699
293	290	697
294	291	696
295	292	694
296	292	692
297	293	690
298	295	692
299	296	690
300	296	688
301	297	687
302	297	685
